task_id,skill,min_skill_level
86711931-b894-4fba-ae7c-dcc06e0f6b89,7af41b3d-857c-44d6-90c3-8256c7872530,2
a6bfb3d5-5596-4121-a2d0-190ac9616c58,7af41b3d-857c-44d6-90c3-8256c7872530,2
2782415c-b51f-4e7c-94b9-1501c4c9c37e,7af41b3d-857c-44d6-90c3-8256c7872530,2
698d6af1-face-450e-8f4e-5759db7cfa53,7af41b3d-857c-44d6-90c3-8256c7872530,2
8140f674-a6d8-4d1a-8474-23d588d6707a,7af41b3d-857c-44d6-90c3-8256c7872530,2
c3164bfc-60f7-4853-8eb4-137b25a6a615,7af41b3d-857c-44d6-90c3-8256c7872530,2
699271d8-db48-4276-878b-651defc4bafa,7af41b3d-857c-44d6-90c3-8256c7872530,2
3f171212-dba9-49ae-b4af-ca56f24067ef,7af41b3d-857c-44d6-90c3-8256c7872530,2
349fbea9-4f42-4122-bbac-89430ffd7f3e,7af41b3d-857c-44d6-90c3-8256c7872530,2
a3e8ab4e-0d32-4067-b17a-1ca9fa8e6b28,7af41b3d-857c-44d6-90c3-8256c7872530,2
8f34a783-d626-4fae-8f40-38291176c67c,7af41b3d-857c-44d6-90c3-8256c7872530,2
c4d3b69c-1e59-455e-bb3e-99c909f11977,7af41b3d-857c-44d6-90c3-8256c7872530,2
062f38d8-ad1a-44e2-941e-97d58adc3e13,7af41b3d-857c-44d6-90c3-8256c7872530,2
8eb7f362-e4c3-4fb4-a17f-434a75e27dc5,7af41b3d-857c-44d6-90c3-8256c7872530,2
efcd9fa9-4f40-4af3-9d92-f813674946ee,7af41b3d-857c-44d6-90c3-8256c7872530,2
b48ca7b6-4bb0-4336-90fc-189e6f6d9444,7af41b3d-857c-44d6-90c3-8256c7872530,2
cb20f9f7-387d-45bb-a4fe-e70335c74503,7af41b3d-857c-44d6-90c3-8256c7872530,2
859aa6dd-6842-4e76-ad92-4a6a157ebe90,7af41b3d-857c-44d6-90c3-8256c7872530,2
0fd49b9c-4647-4677-a4b6-0d473de019f8,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
d54241b8-fb7e-4463-9bf3-200e323902f2,a5ea5d33-9805-4317-af33-a8b9430b1ead,3
e7f0ec1b-eccf-496a-903c-e3b7e5e903cf,a5ea5d33-9805-4317-af33-a8b9430b1ead,3
b48de04e-5510-4966-9291-65ee5de5eb34,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
03e9d9e5-446b-42f3-a2c6-ae2ecb7f0a6e,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
bd96af77-e9f5-492a-bea5-8ae9396703b4,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
433e8420-3ee7-4011-aa18-a6e02adc5a51,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
049ef2eb-a2e4-4eed-9b26-35b64c7076a0,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
4f3cc922-d79b-4505-80e8-be61959f6d8a,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
006e37ea-e1e7-45b1-8f01-e754b11db0af,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
3f5425a8-7bde-4016-92ea-d36d140261b2,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
eee56cf4-76a0-4079-a414-6dd95a900e49,a5ea5d33-9805-4317-af33-a8b9430b1ead,3
f3d15339-74ad-4f0b-a9cb-d3015869da40,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
f8fa4dbf-1f88-4f53-8829-d3795d9a8cd7,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
7165be7b-5d2e-4f67-a9bf-c7ae6d736861,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
a51d13c1-7e42-405e-bf41-6302a2210f9d,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
32554d02-738f-4ad2-88cb-e60bd645ae27,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
eb903482-8009-44b3-8aff-c902881ac701,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
c30ea316-9463-4522-96a6-4004f37611b5,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
1ed3e46c-a0c7-436a-87b4-25c06504680d,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
81b60f18-6884-4808-aae6-4bf04a058487,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
